name,year,actors
Crazy Rich Asians,2018,Constance Wu;Henry Golding;Michelle Yeoh
La La Land,2016,Ryan Gosling;Emma Stone
Harry Potter and the Sorcerer's Stone,2001,Daniel Radcliffe;Rupert Grint;Emma Watson
Kung Fu Panda,2008,Jack Black;Ian McShane;Angelina Jolie
Frozen,2013,Kristen Bell;Idina Menzel;Jonathan Groff
Madagascar,2005,Chris Rock;Ben Stiller;David Schwimmer
Despicable Me,2010,Steve Carell;Jason Segel;Russell Brand
Beauty and the Beast,2017,Emma Watson;Dan Stevens;Luke Evans
Dear Evan Hansen,2016,Ben Platt;Laura Dreyfuss;Rachel Bay Jones
Aladdin,1992,Scott Weinger;Linda Larkin;Robin Williams
The Little Mermaid,1989,Jodi Benson;Christopher Daniel Barnes;Samuel E. Wright
The Last Five Years,2014,Anna Kendrick;Jeremy Jordan
Pitch Perfect,2012,Anna Kendrick;Skylar Astin;Ben Platt
Rent,2005,Idina Menzel;Tracie Thoms;Anthony Rapp;Adam Pascal
Mulan,1998,Lea Salonga;Donny Osmond;Eddie Murphy
The Lion King,1994,Rowan Atkinson;Matthew Broderick;James Earl Jones
Trolls,2016,Anna Kendrick;Justin Timberlake;Zooey Deschanel